item,calories,protein,fat,carbs
Chonga Bagel,300.0,12.0,5.0,50.0
8-Grain Roll,380.0,10.0,6.0,70.0
Almond Croissant,410.0,10.0,22.0,45.0
Apple Fritter,460.0,7.0,23.0,56.0
Banana Nut Bread,420.0,6.0,22.0,52.0
Blueberry Muffin with Yogurt and Honey,380.0,6.0,16.0,53.0
Blueberry Scone,420.0,5.0,17.0,61.0
Butter Croissant,240.0,5.0,12.0,28.0
Butterfly Cookie,350.0,2.0,22.0,38.0
Cheese Danish,320.0,8.0,16.0,36.0
Chewy Chocolate Cookie,170.0,2.0,5.0,30.0
Chocolate Chip Cookie,310.0,4.0,15.0,42.0
Chocolate Chunk Muffin,440.0,7.0,21.0,60.0
Chocolate Croissant,330.0,6.0,18.0,38.0
Chocolate Hazelnut Croissant,390.0,7.0,22.0,43.0
Chocolate Marble Loaf Cake,490.0,6.0,24.0,64.0
Cinnamon Morning Bun,390.0,8.0,15.0,56.0
Cinnamon Raisin Bagel,270.0,9.0,1.0,58.0
Classic Coffee Cake,390.0,5.0,16.0,57.0
Cookie Butter Bar,360.0,2.0,23.0,36.0
Cranberry Orange Scone,420.0,6.0,15.0,64.0
Devil's Food Doughnut,430.0,5.0,23.0,53.0
Double Chocolate Brownie,410.0,6.0,24.0,46.0
Double Chocolate Chunk Brownie,490.0,7.0,28.0,55.0
Double Chocolate Loaf Cake,440.0,5.0,23.0,54.0
Everybody's Favorite - Bantam Bagel (2 Pack),100.0,3.0,3.5,14.0
Everything Bagel with Cheese,290.0,11.0,3.5,53.0
Frappuccino® Cookie Straw,90.0,1.0,3.0,14.0
French Toast - Bantam Bagels (2 Pack),200.0,6.0,8.0,30.0
Gluten-Free Marshmallow Dream Bar,240.0,2.0,5.0,45.0
Ice Cream Cone Sugar Cookie,250.0,3.0,14.0,29.0
Iced Lemon Pound Cake,470.0,6.0,20.0,68.0
Michigan Cherry Oat Bar,310.0,3.0,10.0,47.0
Multigrain Bagel,350.0,17.0,4.0,64.0
Oatmeal Cookie,290.0,5.0,12.0,40.0
Octopus Cookie,330.0,3.0,18.0,39.0
Old-Fashioned Glazed Doughnut,480.0,5.0,27.0,56.0
Peanut butter cup cookie,360.0,8.0,21.0,36.0
Pecan Tart,330.0,4.0,18.0,39.0
Petite Vanilla Bean Scone,120.0,2.0,4.5,18.0
Plain Bagel,280.0,9.0,1.5,56.0
Pumpkin Bread,410.0,6.0,15.0,63.0
Raspberry Swirl Loaf Cake,420.0,6.0,17.0,61.0
Raspberry Whoopie Pie,360.0,3.0,18.0,45.0
Reduced-Fat Cinnamon Swirl Coffee Cake,370.0,5.0,9.0,67.0
S'mores Bar,330.0,2.0,17.0,44.0
S'mores Bar Multipack,330.0,2.0,17.0,44.0
Sprouted Grain Vegan Bagel,330.0,12.0,6.0,57.0
Strawberry Cake Pop,180.0,2.0,9.0,23.0
The Classic - Bantam Bagels (2 Pack),200.0,6.0,8.0,28.0
Toffeedoodle,300.0,3.0,13.0,44.0
Vanilla Bean Whoopie Pie,360.0,3.0,18.0,45.0
Vermont Maple Walnut Muffin,390.0,6.0,21.0,45.0
Volpi™ Pepperoni & Tomato Savory Foldover,270.0,10.0,14.0,27.0
Strawberries & Jam Sandwich,600.0,19.0,25.0,80.0
Burrata & Basil Pesto Small Sandwich,300.0,11.0,14.0,34.0
Cage-Free Eggs & Seasoned Grains Side Salad,360.0,17.0,18.0,33.0
Cauliflower Tabbouleh Side Salad,130.0,2.0,12.0,7.0
Cubano Sandwich,430.0,21.0,23.0,34.0
Farmers' Market Protein Box,470.0,21.0,29.0,29.0
Garden Greens & Shaved Parmesan Side Salad,170.0,7.0,13.0,9.0
Green Goddess Avocado Salad,620.0,13.0,37.0,62.0
Herbed Chicken & Fig Spread Small Sandwich,300.0,19.0,8.0,43.0
Honey BBQ Sriracha Chicken Sandwich,360.0,22.0,7.0,52.0
Roasted Carrot & Kale Side Salad,440.0,10.0,26.0,44.0
Roasted Turkey & Dill Havarti Sandwich,600.0,32.0,32.0,47.0
Seared Steak & Cheddar Sandwich,530.0,23.0,29.0,44.0
Slow-Roasted Ham & Beecher's Flagship Cheese Small Sandwich,350.0,16.0,18.0,31.0
Smoked Mozzarella & Roasted Pepper Sandwich,500.0,18.0,28.0,46.0
Turkey & Fire-Roasted Corn Salad,560.0,24.0,29.0,53.0
Za'atar Chicken & Lemon Tahini Salad,570.0,27.0,23.0,67.0
BBQ Chicken Protein Box,420.0,22.0,16.0,49.0
Cheese & Fruit Protein Box,450.0,20.0,27.0,34.0
Chicken Wrap Protein Box,460.0,20.0,22.0,45.0
Eggs & Cheese Protein Box,460.0,23.0,24.0,40.0
PB&J Protein Box,520.0,20.0,26.0,53.0
Smoked Turkey Protein Box,360.0,24.0,12.0,42.0
Birthday Cake Pop,170.0,1.0,9.0,23.0
Chocolate Cake Pop,160.0,2.0,8.0,23.0
Chocolate Chip Cookie Dough Cake Pop,180.0,2.0,9.0,23.0
Pirate Cake Pop,180.0,1.0,9.0,24.0
Bacon Gouda & Egg Breakfast Sandwich,370.0,18.0,19.0,32.0
Certified Gluten-Free Breakfast Sandwich,280.0,18.0,13.0,18.0
Classic Whole-Grain Oatmeal,160.0,5.0,2.5,28.0
